MENSEE04,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell a @100K,7.6413,0.0042,     ,  Feliciano,    STSM-Parma,
2, Unit cell a @114K,7.6483,0.0031,     ,  Feliciano,    STSM-Parma,
3, Unit cell a @130K,7.6687,0.0046,     ,  Feliciano,    STSM-Parma,
4, Unit cell a @145K,7.6927,0.0048,    ,  Feliciano,    STSM-Parma,
5, Unit cell a @160K,7.7035,0.0052,    ,  Feliciano,    STSM-Parma,
6, Unit cell a @175K,7.7217,0.0051,     ,  Feliciano,    STSM-Parma,
7, Unit cell a @190K,7.7331,0.0049,    ,  Feliciano,    STSM-Parma,
8, Unit cell a @205K,7.7449,0.0041,    ,  Feliciano,    STSM-Parma,
9, Unit cell a @220K,7.7516,0.0041,    ,  Feliciano,    STSM-Parma,
10, Unit cell a @235K,7.7566,0.0050,    ,  Feliciano,    STSM-Parma,
11, Unit cell a @250K,7.7646,0.0038,    ,  Feliciano,    STSM-Parma,
12, Unit cell a @265K,7.7721,0.0037,    ,  Feliciano,    STSM-Parma,
13, Unit cell a @280K,7.7816,0.0033,    ,  Feliciano,    STSM-Parma,
14, Unit cell a @295K,7.7928,0.0040,    ,  Feliciano,    STSM-Parma,
15, Unit cell a @300K,7.8002,0.0028,    ,  Feliciano,    STSM-Parma,
16, Unit cell a @310K,7.8045,0.0026,    ,  Feliciano,    STSM-Parma,
17, Unit cell a @325K,7.8168,0.0021,    ,  Feliciano,    STSM-Parma,
18, Unit cell a @340K,7.8320,0.0025,    ,  Feliciano,    STSM-Parma,
19, Unit cell a @355K,7.8454,0.0027,    ,  Feliciano,    STSM-Parma,
20, Unit cell a @370K,7.8641,0.0021,    ,  Feliciano,    STSM-Parma,
