MENSEE04,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell b @100K,19.0433,0.0079,     ,  Feliciano,    STSM-Parma,
2, Unit cell b @114K,19.0509,0.0053,     ,  Feliciano,    STSM-Parma,
3, Unit cell b @130K,19.0602,0.0092,     ,  Feliciano,    STSM-Parma,
4, Unit cell b @145K,19.0637,0.0090,    ,  Feliciano,    STSM-Parma,
5, Unit cell b @160K,19.0696,0.0095,    ,  Feliciano,    STSM-Parma,
6, Unit cell b @175K,19.0753,0.0107,     ,  Feliciano,    STSM-Parma,
7, Unit cell b @190K,19.0829,0.0103,    ,  Feliciano,    STSM-Parma,
8, Unit cell b @205K,19.0887,0.0093,    ,  Feliciano,    STSM-Parma,
9, Unit cell b @220K,19.0937,0.0090,    ,  Feliciano,    STSM-Parma,
10, Unit cell b @235K,19.1001,0.0112,    ,  Feliciano,    STSM-Parma,
11, Unit cell b @250K,19.1047,0.0084,    ,  Feliciano,    STSM-Parma,
12, Unit cell b @265K,19.1100,0.0081,    ,  Feliciano,    STSM-Parma,
13, Unit cell b @280K,19.1159,0.0073,    ,  Feliciano,    STSM-Parma,
14, Unit cell b @295K,19.1215,0.0092,    ,  Feliciano,    STSM-Parma,
15, Unit cell b @300K,19.1215,0.0062,    ,  Feliciano,    STSM-Parma,
16, Unit cell b @310K,19.1274,0.0058,    ,  Feliciano,    STSM-Parma,
17, Unit cell b @325K,19.1326,0.0046,    ,  Feliciano,    STSM-Parma,
18, Unit cell b @340K,19.1425,0.0058,    ,  Feliciano,    STSM-Parma,
19, Unit cell b @355K,19.1474,0.0058,    ,  Feliciano,    STSM-Parma,
20, Unit cell b @370K,19.1560,0.0044,    ,  Feliciano,    STSM-Parma,
