MENSEE04,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell beta @100K,90.6422,0.0347,     ,  Feliciano,    STSM-Parma,
2, Unit cell beta @114K,90.6537,0.0344,     ,  Feliciano,    STSM-Parma,
3, Unit cell beta @130K,90.5944,0.0452,     ,  Feliciano,    STSM-Parma,
4, Unit cell beta @145K,90.6538,0.0326,    ,  Feliciano,    STSM-Parma,
5, Unit cell beta @160K,90.7275,0.0277,    ,  Feliciano,    STSM-Parma,
6, Unit cell beta @175K,90.6256,0.0273,     ,  Feliciano,    STSM-Parma,
7, Unit cell beta @190K,90.4972,0.0311,    ,  Feliciano,    STSM-Parma,
8, Unit cell beta @205K,90.3656,0.0253,    ,  Feliciano,    STSM-Parma,
9, Unit cell beta @220K,90.3778,0.0252,    ,  Feliciano,    STSM-Parma,
10, Unit cell beta @235K,90.3924,0.0239,    ,  Feliciano,    STSM-Parma,
11, Unit cell beta @250K,90.3621,0.0228,    ,  Feliciano,    STSM-Parma,
12, Unit cell beta @265K,90.3350,0.0230,    ,  Feliciano,    STSM-Parma,
13, Unit cell beta @280K,90.3623,0.0217,    ,  Feliciano,    STSM-Parma,
14, Unit cell beta @295K,90.4042,0.0223,    ,  Feliciano,    STSM-Parma,
15, Unit cell beta @300K,90.4088,0.0215,    ,  Feliciano,    STSM-Parma,
16, Unit cell beta @310K,90.3949,0.0193,    ,  Feliciano,    STSM-Parma,
17, Unit cell beta @325K,90.3881,0.0184,    ,  Feliciano,    STSM-Parma,
18, Unit cell beta @340K,90.3984,0.0153,    ,  Feliciano,    STSM-Parma,
19, Unit cell beta @355K,90.4167,0.0155,    ,  Feliciano,    STSM-Parma,
20, Unit cell beta @370K,90.4208,0.0148,    ,  Feliciano,    STSM-Parma,
