MENSEE04,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell c @100K,10.1550,0.0046,     ,  Feliciano,    STSM-Parma,
2, Unit cell c @114K,10.1585,0.0032,     ,  Feliciano,    STSM-Parma,
3, Unit cell c @130K,10.1630,0.0046,     ,  Feliciano,    STSM-Parma,
4, Unit cell c @145K,10.1649,0.0061,    ,  Feliciano,    STSM-Parma,
5, Unit cell c @160K,10.1680,0.0068,    ,  Feliciano,    STSM-Parma,
6, Unit cell c @175K,10.1692,0.0074,     ,  Feliciano,    STSM-Parma,
7, Unit cell c @190K,10.1660,0.0079,    ,  Feliciano,    STSM-Parma,
8, Unit cell c @205K,10.1571,0.0058,    ,  Feliciano,    STSM-Parma,
9, Unit cell c @220K,10.1593,0.0055,    ,  Feliciano,    STSM-Parma,
10, Unit cell c @235K,10.1607,0.0068,    ,  Feliciano,    STSM-Parma,
11, Unit cell c @250K,10.1626,0.0046,    ,  Feliciano,    STSM-Parma,
12, Unit cell c @265K,10.1644,0.0047,    ,  Feliciano,    STSM-Parma,
13, Unit cell c @280K,10.1656,0.0043,    ,  Feliciano,    STSM-Parma,
14, Unit cell c @295K,10.1691,0.0048,    ,  Feliciano,    STSM-Parma,
15, Unit cell c @300K,10.1665,0.0034,    ,  Feliciano,    STSM-Parma,
16, Unit cell c @310K,10.1700,0.0031,    ,  Feliciano,    STSM-Parma,
17, Unit cell c @325K,10.1714,0.0026,    ,  Feliciano,    STSM-Parma,
18, Unit cell c @340K,10.1741,0.0031,    ,  Feliciano,    STSM-Parma,
19, Unit cell c @355K,10.1746,0.0031,    ,  Feliciano,    STSM-Parma,
20, Unit cell c @370K,10.1745,0.0024,    ,  Feliciano,    STSM-Parma,
