MENSEE04,,,,,,,
Identifier, Property              , Value (Angstrom^3),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell volume @100K,1477.62, 1.22,     ,  Feliciano,    STSM-Parma,
2, Unit cell volume @114K,1480.05, 0.87,     ,  Feliciano,    STSM-Parma,
3, Unit cell volume @130K,1485.40, 1.33,     ,  Feliciano,    STSM-Parma,
4, Unit cell volume @145K,1490.59,	1.47,    ,  Feliciano,    STSM-Parma,
5, Unit cell volume @160K,1493.59,	1.60,    ,  Feliciano,    STSM-Parma,
6, Unit cell volume @175K,1497.78, 1.69,     ,  Feliciano,    STSM-Parma,
7, Unit cell volume @190K,1500.13,	1.71,    ,  Feliciano,    STSM-Parma,
8, Unit cell volume @205K,1501.59,	1.38,    ,  Feliciano,    STSM-Parma,
9, Unit cell volume @220K,1503.61,	1.34,    ,  Feliciano,    STSM-Parma,
10, Unit cell volume @235K,1505.29,	1.66,    ,  Feliciano,    STSM-Parma,
11, Unit cell volume @250K,1507.49,	1.20,    ,  Feliciano,    STSM-Parma,
12, Unit cell volume @265K,1509.63,	1.19,    ,  Feliciano,    STSM-Parma,
13, Unit cell volume @280K,1512.12,	1.07,    ,  Feliciano,    STSM-Parma,
14, Unit cell volume @295K,1515.25,	1.28,    ,  Feliciano,    STSM-Parma,
15, Unit cell volume @300K,1516.31,	0.89,    ,  Feliciano,    STSM-Parma,
16, Unit cell volume @310K,1518.14,	0.83,    ,  Feliciano,    STSM-Parma,
17, Unit cell volume @325K,1521.15,	0.67,    ,  Feliciano,    STSM-Parma,
18, Unit cell volume @340K,1525.30,	0.82,    ,  Feliciano,    STSM-Parma,
19, Unit cell volume @355K,1528.37,	0.84,    ,  Feliciano,    STSM-Parma,
20, Unit cell volume @370K,1532.69,	0.64,    ,  Feliciano,    STSM-Parma,
