MENSEE01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell a @100K,10.5280,0.0010,     ,  Feliciano,    STSM-Parma,
2, Unit cell a @115K,10.5270,0.0010,     ,  Feliciano,    STSM-Parma,
3, Unit cell a @130K,10.5292,0.0010,     ,  Feliciano,    STSM-Parma,
4, Unit cell a @145K,10.5282,0.0010,     ,  Feliciano,    STSM-Parma,
5, Unit cell a @160K,10.5298,0.0011,     ,  Feliciano,    STSM-Parma,
6, Unit cell a @175K,10.5301,0.0010,     ,  Feliciano,    STSM-Parma,
7, Unit cell a @190K,10.5308,0.0010,     ,  Feliciano,    STSM-Parma,
8, Unit cell a @205K,10.5324,0.0011,     ,  Feliciano,    STSM-Parma,
9, Unit cell a @220K,10.5334,0.0009,     ,  Feliciano,    STSM-Parma,
10, Unit cell a @235K,10.5331,0.0010,     ,  Feliciano,    STSM-Parma,
11, Unit cell a @250K,10.5338,0.0010,     ,  Feliciano,    STSM-Parma,
12, Unit cell a @265K,10.5345,0.0010,     ,  Feliciano,    STSM-Parma,
13, Unit cell a @280K,10.5331,0.0014,     ,  Feliciano,    STSM-Parma,
14, Unit cell a @295K,10.5329,0.0011,     ,  Feliciano,    STSM-Parma,
15, Unit cell a @310K,10.5374,0.0014,     ,  Feliciano,    STSM-Parma,
16, Unit cell a @325K,10.5366,0.0016,     ,  Feliciano,    STSM-Parma,
17, Unit cell a @340K,10.5361,0.0018,     ,  Feliciano,    STSM-Parma,
18, Unit cell a @355K,10.5356,0.0013,     ,  Feliciano,    STSM-Parma,
19, Unit cell a @370K,10.5390,0.0020,     ,  Feliciano,    STSM-Parma,
20, Unit cell a @385K,10.5390,0.0020,     ,  Feliciano,    STSM-Parma,
21, Unit cell a @400K,10.5395,0.0024,     ,  Feliciano,    STSM-Parma,
22, Unit cell a @440K,10.5425,0.0019,     ,  Feliciano,    STSM-Parma,
