MENSEE01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell b @100K,17.0763,0.0017,     ,  Feliciano,    STSM-Parma,
2, Unit cell b @115K,17.0707,0.0016,     ,  Feliciano,    STSM-Parma,
3, Unit cell b @130K,17.0691,0.0016,     ,  Feliciano,    STSM-Parma,
4, Unit cell b @145K,17.0647,0.0016,     ,  Feliciano,    STSM-Parma,
5, Unit cell b @160K,17.0631,0.0019,     ,  Feliciano,    STSM-Parma,
6, Unit cell b @175K,17.0593,0.0017,     ,  Feliciano,    STSM-Parma,
7, Unit cell b @190K,17.0556,0.0017,     ,  Feliciano,    STSM-Parma,
8, Unit cell b @205K,17.0552,0.0018,     ,  Feliciano,    STSM-Parma,
9, Unit cell b @220K,17.0548,0.0015,     ,  Feliciano,    STSM-Parma,
10, Unit cell b @235K,17.0501,0.0016,     ,  Feliciano,    STSM-Parma,
11, Unit cell b @250K,17.0478,0.0017,     ,  Feliciano,    STSM-Parma,
12, Unit cell b @265K,17.0463,0.0017,     ,  Feliciano,    STSM-Parma,
13, Unit cell b @280K,17.0400,0.0023,     ,  Feliciano,    STSM-Parma,
14, Unit cell b @295K,17.0346,0.0018,     ,  Feliciano,    STSM-Parma,
15, Unit cell b @310K,17.0372,0.0023,     ,  Feliciano,    STSM-Parma,
16, Unit cell b @325K,17.0306,0.0026,     ,  Feliciano,    STSM-Parma,
17, Unit cell b @340K,17.0265,0.0030,     ,  Feliciano,    STSM-Parma,
18, Unit cell b @355K,17.0212,0.0021,     ,  Feliciano,    STSM-Parma,
19, Unit cell b @370K,17.0184,0.0033,     ,  Feliciano,    STSM-Parma,
20, Unit cell b @385K,17.0176,0.0034,     ,  Feliciano,    STSM-Parma,
21, Unit cell b @400K,17.0150,0.0041,     ,  Feliciano,    STSM-Parma,
22, Unit cell b @440K,17.0174,0.0032,     ,  Feliciano,    STSM-Parma,
