MENSEE01,,,,,,,
Identifier, Property              , Value (Angstrom),          Std,   N,    Name,    Reference    ,                 Comment
1, Unit cell c @100K,4.0701,0.0004,     ,  Feliciano,    STSM-Parma,
2, Unit cell c @115K,4.0835,0.0004,     ,  Feliciano,    STSM-Parma,
3, Unit cell c @130K,4.0989,0.0004,     ,  Feliciano,    STSM-Parma,
4, Unit cell c @145K,4.1110,0.0004,     ,  Feliciano,    STSM-Parma,
5, Unit cell c @160K,4.1264,0.0004,     ,  Feliciano,    STSM-Parma,
6, Unit cell c @175K,4.1427,0.0004,     ,  Feliciano,    STSM-Parma,
7, Unit cell c @190K,4.1577,0.0004,     ,  Feliciano,    STSM-Parma,
8, Unit cell c @205K,4.1717,0.0004,     ,  Feliciano,    STSM-Parma,
9, Unit cell c @220K,4.1855,0.0004,     ,  Feliciano,    STSM-Parma,
10, Unit cell c @235K,4.1985,0.0004,     ,  Feliciano,    STSM-Parma,
11, Unit cell c @250K,4.2115,0.0004,     ,  Feliciano,    STSM-Parma,
12, Unit cell c @265K,4.2239,0.0004,     ,  Feliciano,    STSM-Parma,
13, Unit cell c @280K,4.2353,0.0006,     ,  Feliciano,    STSM-Parma,
14, Unit cell c @295K,4.2472,0.0004,     ,  Feliciano,    STSM-Parma,
15, Unit cell c @310K,4.2600,0.0006,     ,  Feliciano,    STSM-Parma,
16, Unit cell c @325K,4.2675,0.0006,     ,  Feliciano,    STSM-Parma,
17, Unit cell c @340K,4.2745,0.0007,     ,  Feliciano,    STSM-Parma,
18, Unit cell c @355K,4.2828,0.0005,     ,  Feliciano,    STSM-Parma,
19, Unit cell c @370K,4.2906,0.0008,     ,  Feliciano,    STSM-Parma,
20, Unit cell c @385K,4.2972,0.0008,     ,  Feliciano,    STSM-Parma,
21, Unit cell c @400K,4.3063,0.0010,     ,  Feliciano,    STSM-Parma,
22, Unit cell c @440K,4.3110,0.0008,     ,  Feliciano,    STSM-Parma,
