Phenylpiracetam Form A,,,,,,,
Identifier,Property,Value (J/molK),Std,N,Name,Comment,Reference
1,Heat capacity @240K,215.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
2,Heat capacity @245K,219.4,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
3,Heat capacity @250K,223.7,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
4,Heat capacity @255K,227.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
5,Heat capacity @260K,232.1,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
6,Heat capacity @265K,236.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
7,Heat capacity @270K,240.5,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
8,Heat capacity @275K,244.8,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
9,Heat capacity @280K,249.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
10,Heat capacity @285K,253.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
11,Heat capacity @290K,257.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
12,Heat capacity @295K,262.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
13,Heat capacity @300K,266.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
14,Heat capacity @305K,270.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
15,Heat capacity @310K,275.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
16,Heat capacity @315K,279.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
17,Heat capacity @320K,284.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
18,Heat capacity @325K,288.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
19,Heat capacity @330K,292.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
20,Heat capacity @335K,297.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
21,Heat capacity @340K,301.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
22,Heat capacity @345K,305.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
23,Heat capacity @350K,309.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
24,Heat capacity @305K,270.79,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
25,Heat capacity @315K,279.28,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
26,Heat capacity @320K,285.27,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
27,Heat capacity @330K,292.09,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
28,Heat capacity @340K,302.68,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
29,Heat capacity @345K,309.05,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
30,Heat capacity @355K,316.90,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
31,Heat capacity @365K,322.83,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
32,Heat capacity @370K,330.52,,,Rekis_17,,10.1021/acs.cgd.6b01867 rounded
