Phenylpiracetam Form A,,,,,,,
"Identifier,""	Property"",""		     Value (K)"",""		Std"","" 	N"",       Name,""	              Comment"",            Reference "
1,         Melting point,383.55,       ,     ,       Kons,                        20 K/min, Artis Kons e-mail 3 Sept 2024             
2,         Melting point,383.65,       ,     ,       Kons,                        20 K/min,
3,         Melting point,383.19,       ,     ,       Kons,                        10 K/min,
4,         Melting point,383.05,       ,     ,       Kons,                        10 K/min,             
5,         Melting point,382.91,       ,     ,       Kons,                        10 K/min,
6,         Melting point,383.25,       ,     ,       Kons,                        5 K/min,
7,         Melting point,384.55,       ,     ,       Kons,                        5 K/min,               
8,         Melting point,382.37,       ,     ,       Kons,                        1 K/min,
9,         Melting point,381.95,       ,     ,       Kons,                        1 K/min,
10,        Melting point,381.3,       ,     ,       Kons,                        1 K/min,
11,        Melting point,382.35,       ,     ,       Rekis_17,                           ,   10.1021/acs.cgd.6b01867
12,        Melting point,382.24,0.03,5,FelicianoTA,25 K/min (TA 2920MDSC),Artis Kons email 21/12/2024
13,        Melting point,383.25,0.17,9,FelicianoPerkin,25 K/min (Perkin Elmer DSC 7),Artis Kons email 21/12/2024
14,        Melting point,383.22,0.18,3,Stejfa Vojtech,10 K/min (TA DSC Discovery 2500), Stejfa Vojtech email 12/03/2025
