Phenylpiracetam Form B,,,,,,,
Identifier,Property,Value (J/molK),Std,N,Name,Comment,Reference
1,Heat capacity @240K,216.7,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
2,Heat capacity @245K,220.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
3,Heat capacity @250K,225.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
4,Heat capacity @255K,229.4,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
5,Heat capacity @260K,233.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
6,Heat capacity @265K,237.8,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
7,Heat capacity @270K,242.4,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
8,Heat capacity @275K,246.7,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
9,Heat capacity @280K,250.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
10,Heat capacity @285K,255.4,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
11,Heat capacity @290K,259.7,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
12,Heat capacity @295K,264.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
13,Heat capacity @300K,268.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
14,Heat capacity @305K,272.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
15,Heat capacity @310K,276.9,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
16,Heat capacity @315K,281.2,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
17,Heat capacity @320K,285.4,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
18,Heat capacity @325K,289.6,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
19,Heat capacity @330K,294.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
20,Heat capacity @335K,298.3,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
21,Heat capacity @340K,302.5,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
22,Heat capacity @345K,306.8,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
23,Heat capacity @350K,311.0,,,Stejfa Vojtech,Setaram Microcalvet (Continous method, three-step evaluation),Stejfa Vojtech email 12/03/2025
24,Heat capacity @307.70K,272.11,,,Rekis_17,,,10.1021/acs.cgd.6b01867
25,Heat capacity @315.72K,280.65,,,Rekis_17,,,10.1021/acs.cgd.6b01867
26,Heat capacity @323.72K,287.80,,,Rekis_17,,,10.1021/acs.cgd.6b01867
27,Heat capacity @331.72K,296.61,,,Rekis_17,,,10.1021/acs.cgd.6b01867
28,Heat capacity @339.71K,302.88,,,Rekis_17,,,10.1021/acs.cgd.6b01867
29,Heat capacity @347.71K,309.45,,,Rekis_17,,,10.1021/acs.cgd.6b01867
30,Heat capacity @355.71K,316.86,,,Rekis_17,,,10.1021/acs.cgd.6b01867
31,Heat capacity @363.70K,325.56,,,Rekis_17,,,10.1021/acs.cgd.6b01867
32,Heat capacity @371.70K,331.50,,,Rekis_17,,,10.1021/acs.cgd.6b01867
33,Heat capacity @379.70K,342.12,,,Rekis_17,,,10.1021/acs.cgd.6b01867
