Identifier,Property,Value (J/molK),Std,N,Name,Reference,Comment
1,Cp @1.18828,0.00119,,1,Daria Szewczyk,This Work,m= 4.01 mg
2,Cp @1.17341,0.00117,,1,Daria Szewczyk,This Work,m= 4.01 mg
3,Cp @1.15694,0.00116,,1,Daria Szewczyk,This Work,m= 4.01 mg
4,Cp @1.14225,0.00114,,1,Daria Szewczyk,This Work,m= 4.01 mg
5,Cp @1.12763,0.00113,,1,Daria Szewczyk,This Work,m= 4.01 mg
6,Cp @1.11158,0.00111,,1,Daria Szewczyk,This Work,m= 4.01 mg
7,Cp @1.09616,0.0011,,1,Daria Szewczyk,This Work,m= 4.01 mg
8,Cp @1.081,0.00108,,1,Daria Szewczyk,This Work,m= 4.01 mg
9,Cp @1.06599,0.00107,,1,Daria Szewczyk,This Work,m= 4.01 mg
10,Cp @1.0508,0.00105,,1,Daria Szewczyk,This Work,m= 4.01 mg
11,Cp @1.03494,0.00103,,1,Daria Szewczyk,This Work,m= 4.01 mg
12,Cp @1.0204,0.00102,,1,Daria Szewczyk,This Work,m= 4.01 mg
13,Cp @1.00492,0.001,,1,Daria Szewczyk,This Work,m= 4.01 mg
14,Cp @0.98863,9.89E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
15,Cp @0.97355,9.74E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
16,Cp @0.95858,9.59E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
17,Cp @0.94313,9.43E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
18,Cp @0.9274,9.27E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
19,Cp @0.91238,9.12E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
20,Cp @0.89711,8.97E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
21,Cp @0.88263,8.83E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
22,Cp @0.86639,8.66E-04,,1,Daria Szewczyk,This Work,m= 4.01 mg
