dentifier,Property,Temperature (K),Value (Pa),Std,N,Name,Reference,Comment
1,Vapor pressure,373.08,108.38,0.59,2,Vojtěch,This work,Liquid- STAT9
2,Vapor pressure,373.08,108.26,0.59,2,Vojtěch,This work,Liquid- STAT9
3,Vapor pressure,373.08,108.24,0.59,2,Vojtěch,This work,Liquid- STAT9
4,Vapor pressure,378.03,146.44,0.78,2,Vojtěch,This work,Liquid- STAT9
5,Vapor pressure,378.03,146.25,0.78,2,Vojtěch,This work,Liquid- STAT9
6,Vapor pressure,378.04,146.30,0.78,2,Vojtěch,This work,Liquid- STAT9
7,Vapor pressure,383.01,196.51,1.03,2,Vojtěch,This work,Liquid- STAT9
8,Vapor pressure,383.01,196.15,1.03,2,Vojtěch,This work,Liquid- STAT9
9,Vapor pressure,383.02,196.45,1.03,2,Vojtěch,This work,Liquid- STAT9
10,Vapor pressure,387.97,260.45,1.35,2,Vojtěch,This work,Liquid- STAT9
11,Vapor pressure,387.97,260.13,1.35,2,Vojtěch,This work,Liquid- STAT9
12,Vapor pressure,387.97,259.89,1.35,2,Vojtěch,This work,Liquid- STAT9
13,Vapor pressure,392.95,342.73,1.76,2,Vojtěch,This work,Liquid- STAT9
14,Vapor pressure,392.95,342.61,1.76,2,Vojtěch,This work,Liquid- STAT9
15,Vapor pressure,392.95,342.65,1.76,2,Vojtěch,This work,Liquid- STAT9
16,Vapor pressure,397.92,446.22,2.28,2,Vojtěch,This work,Liquid- STAT9
17,Vapor pressure,397.91,446.58,2.28,2,Vojtěch,This work,Liquid- STAT9
18,Vapor pressure,397.91,446.19,2.28,2,Vojtěch,This work,Liquid- STAT9
19,Vapor pressure,402.88,577.30,2.94,2,Vojtěch,This work,Liquid- STAT9
20,Vapor pressure,402.88,577.65,2.94,2,Vojtěch,This work,Liquid- STAT9
21,Vapor pressure,402.88,578.11,2.94,2,Vojtěch,This work,Liquid- STAT9
22,Vapor pressure,407.86,742.81,3.76,2,Vojtěch,This work,Liquid- STAT9
23,Vapor pressure,407.85,742.31,3.76,2,Vojtěch,This work,Liquid- STAT9
24,Vapor pressure,407.85,741.63,3.76,2,Vojtěch,This work,Liquid- STAT9
25,Vapor pressure,412.82,945.11,4.78,2,Vojtěch,This work,Liquid- STAT9
26,Vapor pressure,412.81,943.77,4.77,2,Vojtěch,This work,Liquid- STAT9
27,Vapor pressure,412.81,943.99,4.77,2,Vojtěch,This work,Liquid- STAT9
28,Vapor pressure,417.79,1197.4,6.0,2,Vojtěch,This work,Liquid- STAT9
29,Vapor pressure,417.79,1196.2,6.0,2,Vojtěch,This work,Liquid- STAT9
30,Vapor pressure,417.79,1196.4,6.0,2,Vojtěch,This work,Liquid- STAT9
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
