dentifier,Property,Temperature (K),Value (Pa),Std,N,Name,Reference,Comment
1,Vapor pressure,308.68,0.210,0.051,2,Vojtěch,This work,Form I- STAT8
2,Vapor pressure,308.69,0.219,0.051,2,Vojtěch,This work,Form I- STAT8
3,Vapor pressure,308.70,0.205,0.051,2,Vojtěch,This work,Form I- STAT8
4,Vapor pressure,313.72,0.393,0.052,2,Vojtěch,This work,Form I- STAT8
5,Vapor pressure,313.71,0.368,0.052,2,Vojtěch,This work,Form I- STAT8
6,Vapor pressure,313.71,0.376,0.052,2,Vojtěch,This work,Form I- STAT8
7,Vapor pressure,318.76,0.675,0.053,2,Vojtěch,This work,Form I- STAT8
8,Vapor pressure,318.76,0.678,0.053,2,Vojtěch,This work,Form I- STAT8
9,Vapor pressure,318.75,0.664,0.053,2,Vojtěch,This work,Form I- STAT8
10,Vapor pressure,323.80,1.112,0.056,2,Vojtěch,This work,Form I- STAT8
11,Vapor pressure,323.79,1.107,0.056,2,Vojtěch,This work,Form I- STAT8
12,Vapor pressure,323.81,1.117,0.056,2,Vojtěch,This work,Form I- STAT8
13,Vapor pressure,328.82,1.906,0.060,2,Vojtěch,This work,Form I- STAT8
14,Vapor pressure,328.83,1.909,0.060,2,Vojtěch,This work,Form I- STAT8
15,Vapor pressure,328.83,1.908,0.060,2,Vojtěch,This work,Form I- STAT8
16,Vapor pressure,333.87,3.147,0.066,2,Vojtěch,This work,Form I- STAT8
17,Vapor pressure,333.89,3.112,0.066,2,Vojtěch,This work,Form I- STAT8
18,Vapor pressure,333.89,3.079,0.065,2,Vojtěch,This work,Form I- STAT8
19,Vapor pressure,338.87,5.078,0.075,2,Vojtěch,This work,Form I- STAT8
20,Vapor pressure,338.89,5.063,0.075,2,Vojtěch,This work,Form I- STAT8
21,Vapor pressure,338.90,5.056,0.075,2,Vojtěch,This work,Form I- STAT8
22,Vapor pressure,343.83,8.066,0.090,2,Vojtěch,This work,Form I- STAT8
23,Vapor pressure,343.85,8.028,0.090,2,Vojtěch,This work,Form I- STAT8
24,Vapor pressure,343.86,8.011,0.090,2,Vojtěch,This work,Form I- STAT8
25,Vapor pressure,348.86,12.92,0.115,2,Vojtěch,This work,Form I- STAT8
26,Vapor pressure,348.84,12.91,0.115,2,Vojtěch,This work,Form I- STAT8
27,Vapor pressure,348.84,12.93,0.115,2,Vojtěch,This work,Form I- STAT8
28,Vapor pressure,353.78,19.95,0.150,2,Vojtěch,This work,Form I- STAT8
29,Vapor pressure,353.78,19.97,0.150,2,Vojtěch,This work,Form I- STAT8
30,Vapor pressure,353.78,19.95,0.150,2,Vojtěch,This work,Form I- STAT8
31,Vapor pressure,358.70,30.41,0.202,2,Vojtěch,This work,Form I- STAT8
32,Vapor pressure,358.67,30.23,0.201,2,Vojtěch,This work,Form I- STAT8
33,Vapor pressure,358.67,30.25,0.201,2,Vojtěch,This work,Form I- STAT8
34,Vapor pressure,363.57,45.51,0.278,2,Vojtěch,This work,Form I- STAT8
35,Vapor pressure,363.69,45.93,0.280,2,Vojtěch,This work,Form I- STAT8
36,Vapor pressure,363.62,45.64,0.278,2,Vojtěch,This work,Form I- STAT8
37,Vapor pressure,368.45,67.54,0.388,2,Vojtěch,This work,Form I- STAT8
38,Vapor pressure,368.44,67.20,0.386,2,Vojtěch,This work,Form I- STAT8
39,Vapor pressure,368.43,67.23,0.386,2,Vojtěch,This work,Form I- STAT8
40,Vapor pressure,373.37,99.80,0.549,2,Vojtěch,This work,Form I- STAT8
41,Vapor pressure,373.34,99.25,0.546,2,Vojtěch,This work,Form I- STAT8
42,Vapor pressure,373.36,99.52,0.548,2,Vojtěch,This work,Form I- STAT8
