Position,        Amount/mg,       Volume/mL,    Conc/mgmL-1,    Tclear1/2,   notes
A1,      6.19    ,1,       6.1875  ,8.1,  All measured by Crystal 16 in acetonitrile:water (80:20 v:v)
A2,      7.50    ,1,       7.4955  ,12.7,
A3,      10.68   ,1,       10.6845 ,22.1,
A4,      11.62   ,1,       11.6235 ,25.6,
B1,      14.9855 ,1,       14.9855 ,33.2,
B2,      18.39   ,1,       18.388  ,38.7,
B3,      20.43   ,1,       20.4255 ,42.1,
B4,      23.54   ,1,       23.5415 ,46.3,
C1,      29.41   ,1,       29.4145 ,52.4,
C2,      35.46   ,1,       35.4565 ,58.2,
C3,      40.098  ,1,       39.098  ,61.3,
C4,      49.6615 ,1,       48.6615 ,68.2,
D1,      44.6785 ,1,      43.7085  ,65.1,
D2,      42.764  ,1,       42.764  ,64.1,
