Temperature/ K, temperature	/ degC, a / Angstrom,	b / Angstrom,	c / Angstrom, 	volume / Angstrom-3, density / g cm-1, r-factor / %, notes
150, -123,  14.4646,        8.1812,         21.7718,            2576.42660,         1.362773, 3.86, SC-XRD
150,-123,14.4588,8.1800,21.7664,2574.377079,1.363858,4.33,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
160,-113,14.4597,8.1802,21.7812,2576.350862,1.362813,4.40,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
170,-103,14.4638,8.1835,21.7953,2579.789946,1.360996,4.43,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
180,-93,14.4666,8.1868,21.8103,2583.106389,1.359249,4.44,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
190,-83,14.4701,8.1889,21.8216,2585.733076,1.357868,4.81,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
200,-73,14.4734,8.1921,21.8397,2589.479506,1.355903,4.51,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
210,-63,14.4763,8.1946,21.8522,2592.271593,1.354443,5.05,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
220,-53,14.4795,8.1974,21.8693,2595.760234,1.352623,4.53,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
230,-43,14.4814,8.1993,21.8844,2598.495510,1.351199,4.63,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
240,-33,14.4852,8.2020,21.9002,2601.910429,1.349425,4.73,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
250,-23,14.4884,8.2048,21.9167,2605.335095,1.347652,4.77,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
260,-13,14.4914,8.2069,21.9332,2608.503866,1.346015,4.76,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
270,-3,14.4950,8.2094,21.9489,2611.814909,1.344308,4.87,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
280,7,14.4973,8.2118,21.9658,2615.004946,1.342668,4.93,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
290,17,14.5008,8.2141,21.9821,2618.310381,1.340973,5.01,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
296,  23, 14.5018,        8.2173,         21.9870,            2620.09495,         1.340060, 3.15, SC-XRD
300,27,14.5040,8.2162,21.9984,2621.500157,1.339342,4.98,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
300.15, 27,	14.53317,		8.22425,		22.03625,			2633.87050,			1.333092, , PXRD(T)
314.15, 41,	14.53822,		8.22784,		22.06074,				2638.86490,		1.330569, , PXRD(T)
334.15, 61,	14.54086,		8.22989,		22.08758,				2643.21360,		1.328380, , PXRD(T)
355.15, 82,	14.54292,		8.23262,		22.12175,			2648.55650,			1.325700, , PXRD(T)
375.15, 102,	14.54820,		8.23772,		22.16162,		2655.93720,		1.322016, , PXRD(T)
396.15, 123,	14.56220,		8.24427,		22.21000,		2666.41508,		1.316821, , PXRD(T)
413.0,  140,	14.5464,        8.2462,         22.2397,        2667.7081,      1.316143, 5.59, SC-XRD
416.15, 143,	14.57052,		8.24744,		22.24313,		2672.94558,		1.313604, , PXRD(T)
436.15, 163,	14.57571,		8.25198,		22.27801,		2679.56490,		1.310359, , PXRD(T)
457.15, 184,	14.58353,		8.25680,		22.32133,		2687.78479,		1.306352, , PXRD(T)
477.15, 204,	14.59593,		8.26224,		22.36074,		2696.59515,		1.302084, , PXRD(T)
