Temperature/ K, temperature	/ degC, a / Angstrom,	b / Angstrom,	c / Angstrom, 	volume / Angstrom-3, density / g cm-1, r-factor / %, notes
150,-123,9.0904,11.5429,22.8616,2398.858044,1.463648, 2.88, SC-XRD 
150,-123,9.0823,11.5422,22.8439,2394.719711,1.466178,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
160,-113,9.0881,11.5538,22.8478,2399.066747,1.463521,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
170,-103,9.0992,11.5635,22.8525,2404.508038,1.460209,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
180,-93,9.0972,11.5751,22.8531,2406.454277,1.459028,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
185,-88,9.1048,11.5802,22.8576,2410.000312,1.456881,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
190,-83,9.1064,11.5845,22.8569,2411.245027,1.456129,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
195,-78,9.1070,11.5902,22.8593,2412.843723,1.455164,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
200,-73,9.1066,11.5983,22.8627,2414.783038,1.453996,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
220,-53,9.1158,11.6222,22.8715,2423.135951,1.448984,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
230,-43,9.1200,11.6339,22.8697,2426.501882,1.446974,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
240,-33,9.1237,11.6442,22.8738,2430.071054,1.444848,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
250,-23,9.1280,11.6579,22.8759,2434.300266,1.442338,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
260,-13,9.1311,11.6667,22.8800,2437.401924,1.440503,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
270,-3,9.1357,11.6782,22.8834,2441.396347,1.438146,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
280,7,9.1405,11.6923,22.8838,2445.671070,1.435632,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
290,17,9.1415,11.7002,22.8837,2447.580558,1.434512,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
295,22,9.1370,11.7026,22.8620,2444.557214,1.436286,2.93, SC-XRD
298.15,25,9.14677,11.71276,22.89431,2452.75726,1.431529,, PXRD(T)
300,27,9.1445,11.7130,22.8862,2451.330091,1.432318,,"SC-XRD, Pallipurath et al., Mol. Pharm. 2015"
314.15,41,9.15254,11.72965,22.89644,2458.07131,1.428434,, PXRD(T)
334.15,61,9.16055,11.75465,22.90456,2466.34274,1.423643,, PXRD(T)
355.15,82,9.17109,11.78037,22.91428,2475.63228,1.418301,, PXRD(T)
375.15,102,9.17879,11.80176,22.92610,2483.48968,1.413814,, PXRD(T)
396.15,123,9.18904,11.82589,22.93945,2492.79711,1.408535,, PXRD(T)
413,140,9.1954,11.8656,22.9266,2501.496983,1.403593,3.61, SC-XRD
416.15,143,9.20005,11.85110,22.96055,2503.40516,1.402567,, PXRD(T)

