T / K, "C_p,m (form I)", "C_p,m (form II)", "100(C_p,m (form II)/C_p,m (form I)-1)", notes
240.0, 245.8, 247.6, 0.73, SETARAM Microcalvet
245.0, 250.1, 252.2, 0.82, SETARAM Microcalvet
250.0, 254.4, 256.8, 0.93, SETARAM Microcalvet
255.0, 258.6, 261.3, 1.05, SETARAM Microcalvet
260.0, 262.6, 265.9, 1.22, SETARAM Microcalvet
265.0, 267.4, 270.4, 1.12, SETARAM Microcalvet
270.0, 271.5, 274.6, 1.13, SETARAM Microcalvet
275.0, 275.7, 278.9, 1.16, SETARAM Microcalvet
280.0, 280.0, 283.7, 1.30, SETARAM Microcalvet
285.0, 284.3, 288.4, 1.41, SETARAM Microcalvet
290.0, 288.5, 292.8, 1.44, SETARAM Microcalvet
295.0, 292.8, 297.2, 1.46, SETARAM Microcalvet
300.0, 297.1, 301.5, 1.48, SETARAM Microcalvet
305.0, 301.3, 305.9, 1.50, SETARAM Microcalvet
310.0, 305.6, 310.3, 1.52, SETARAM Microcalvet
315.0, 309.9, 314.7, 1.53, SETARAM Microcalvet
320.0, 314.2, 319.0, 1.51, SETARAM Microcalvet
325.0, 318.5, 323.3, 1.49, SETARAM Microcalvet
330.0, 322.7, 327.6, 1.49, SETARAM Microcalvet
335.0, 326.9, 331.9, 1.52, SETARAM Microcalvet
340.0, 331.1, 336.3, 1.53, SETARAM Microcalvet
345.0, 335.4, 340.8, 1.58, SETARAM Microcalvet
350.0, 339.6, 345.2, 1.63, SETARAM Microcalvet
305.4, 301.4, 305.9, 1.48, PE8500
310.4, 306.1, 310.5, 1.41, PE8500
315.4, 310.3, 315.0, 1.47, PE8500
320.4, 314.9, 319.7, 1.50, PE8500
325.3, 319.1, 324.0, 1.51, PE8500
330.3, 323.0, 328.0, 1.52, PE8500
335.3, 327.3, 332.4, 1.55, PE8500
340.3, 331.4, 336.8, 1.62, PE8500
345.3, 335.3, 340.9, 1.63, PE8500
350.3, 339.2, 345.4, 1.77, PE8500
355.2, 343.3, 349.2, 1.68, PE8500
360.2, 347.4, 353.6, 1.74, PE8500
365.2, 351.5, 357.3, 1.63, PE8500
370.2, 355.3, 361.7, 1.78, PE8500
375.2, 359.4, 366.1, 1.84, PE8500
380.1, 363.3, 370.7, 2.01, PE8500
385.1, 366.8, 375.3, 2.26, PE8500
390.1, 371.0, 379.7, 2.31, PE8500
395.1, 374.8, 384.3, 2.47, PE8500
400.1, 378.0, 388.4, 2.67, PE8500
405.1, 382.2, 392.2, 2.56, PE8500
410.0, 386.0, 396.4, 2.62, PE8500
415.0, 389.6, 400.4, 2.69, PE8500
420.0, 393.0, 403.3, 2.56, PE8500
425.0, 396.5, , , PE8500
430.0, 400.2, , , PE8500 
435.0, 405.2, , , PE8500
439.9, 408.4, , , PE8500
444.9, 412.3, , , PE8500
449.9, 415.3, , , PE8500
454.9, 418.5, , , PE8500
459.8, 421.3, , , PE8500
